Start Time: 23-04-2025 10:20:15
End Time: 25-04-2025 16:46:15
Data Number: 3267
Temperature ˚C (ºC) Max: 34.2 23-04-2025 11:36:15	 Min: 23.4 23-04-2025 10:20:15	 Avg: 30.09
Relative Humidity (%) Max: 47.3 23-04-2025 10:29:15	 Min: 19.3 23-04-2025 16:02:15	 Avg: 26.73
Air Pressure (hPa)  Max: 964 24-04-2025 09:01:15	 Min: 956 23-04-2025 17:28:15	 Avg: 962.11
Pause  Max: 0 23-04-2025 10:20:15	 Min: 0 23-04-2025 10:20:15	 Avg: 0.00
""
Record Time,Temperature ˚C (ºC),Relative Humidity (%),Air Pressure (hPa),Pause
"23-04-2025 10:20:15","23.4","35.9","961","0"
"23-04-2025 10:21:15","23.5","37.5","961","0"
"23-04-2025 10:22:15","23.6","38.0","960","0"
"23-04-2025 10:23:15","23.6","37.9","960","0"
"23-04-2025 10:24:15","23.6","34.3","960","0"
"23-04-2025 10:25:15","23.6","34.3","960","0"
"23-04-2025 10:26:15","23.6","34.1","960","0"
"23-04-2025 10:27:15","23.5","46.9","960","0"
"23-04-2025 10:28:15","23.6","41.9","961","0"
"23-04-2025 10:29:15","23.4","47.3","962","0"
"23-04-2025 10:30:15","23.5","43.1","962","0"
"23-04-2025 10:31:15","23.8","47.0","962","0"
"23-04-2025 10:32:15","24.5","40.4","962","0"
"23-04-2025 10:33:15","25.3","36.5","962","0"
"23-04-2025 10:34:15","26.3","34.5","962","0"
"23-04-2025 10:35:15","27.1","33.1","962","0"
"23-04-2025 10:36:15","27.8","31.4","962","0"
"23-04-2025 10:37:15","28.5","30.3","962","0"
"23-04-2025 10:38:15","29.1","29.4","962","0"
"23-04-2025 10:39:15","29.7","29.3","962","0"
"23-04-2025 10:40:15","30.2","28.3","962","0"
"23-04-2025 10:41:15","30.7","27.6","962","0"
"23-04-2025 10:42:15","31.1","26.9","962","0"
"23-04-2025 10:43:15","31.5","26.6","962","0"
"23-04-2025 10:44:15","31.9","25.6","962","0"
"23-04-2025 10:45:15","32.2","25.1","962","0"
"23-04-2025 10:46:15","32.5","24.8","962","0"
"23-04-2025 10:47:15","32.8","24.3","962","0"
"23-04-2025 10:48:15","33.0","23.9","962","0"
"23-04-2025 10:49:15","33.2","23.9","962","0"
"23-04-2025 10:50:15","33.3","23.5","962","0"
"23-04-2025 10:51:15","33.3","23.5","962","0"
"23-04-2025 10:52:15","33.3","23.2","962","0"
"23-04-2025 10:53:15","33.3","23.2","962","0"
"23-04-2025 10:54:15","33.3","23.4","962","0"
"23-04-2025 10:55:15","33.3","23.4","962","0"
"23-04-2025 10:56:15","33.4","23.5","962","0"
"23-04-2025 10:57:15","33.4","23.6","962","0"
"23-04-2025 10:58:15","33.4","23.5","962","0"
"23-04-2025 10:59:15","33.4","23.5","962","0"
"23-04-2025 11:00:15","33.4","23.4","962","0"
"23-04-2025 11:01:15","33.5","23.2","962","0"
"23-04-2025 11:02:15","33.5","23.2","962","0"
"23-04-2025 11:03:15","33.5","23.2","962","0"
"23-04-2025 11:04:15","33.5","23.2","962","0"
"23-04-2025 11:05:15","33.5","23.5","962","0"
"23-04-2025 11:06:15","33.6","23.4","962","0"
"23-04-2025 11:07:15","33.6","23.3","962","0"
"23-04-2025 11:08:15","33.6","23.5","962","0"
"23-04-2025 11:09:15","33.7","23.4","962","0"
"23-04-2025 11:10:15","33.7","23.4","962","0"
"23-04-2025 11:11:15","33.7","23.8","962","0"
"23-04-2025 11:12:15","33.7","23.7","962","0"
"23-04-2025 11:13:15","33.8","23.6","962","0"
"23-04-2025 11:14:15","33.8","23.4","962","0"
"23-04-2025 11:15:15","33.8","23.4","962","0"
"23-04-2025 11:16:15","33.8","23.1","962","0"
"23-04-2025 11:17:15","33.8","23.2","962","0"
"23-04-2025 11:18:15","33.9","23.3","962","0"
"23-04-2025 11:19:15","33.9","23.3","962","0"
"23-04-2025 11:20:15","33.9","23.7","962","0"
"23-04-2025 11:21:15","33.9","23.7","962","0"
"23-04-2025 11:22:15","34.0","23.7","962","0"
"23-04-2025 11:23:15","34.0","23.8","962","0"
"23-04-2025 11:24:15","34.0","23.6","962","0"
"23-04-2025 11:25:15","34.1","23.3","962","0"
"23-04-2025 11:26:15","34.1","23.3","962","0"
"23-04-2025 11:27:15","34.1","23.1","962","0"
"23-04-2025 11:28:15","34.1","23.0","962","0"
"23-04-2025 11:29:15","34.1","22.9","962","0"
"23-04-2025 11:30:15","34.1","22.9","962","0"
"23-04-2025 11:31:15","34.1","22.8","962","0"
"23-04-2025 11:32:15","34.1","22.7","962","0"
"23-04-2025 11:33:15","34.1","22.7","962","0"
"23-04-2025 11:34:15","34.1","23.3","962","0"
"23-04-2025 11:35:15","34.1","23.1","962","0"
"23-04-2025 11:36:15","34.2","23.0","962","0"
"23-04-2025 11:37:15","34.2","22.8","962","0"
"23-04-2025 11:38:15","34.1","22.6","962","0"
"23-04-2025 11:39:15","34.1","22.6","962","0"
"23-04-2025 11:40:15","34.1","22.6","962","0"
"23-04-2025 11:41:15","34.1","22.5","962","0"
"23-04-2025 11:42:15","34.1","22.5","962","0"
"23-04-2025 11:43:15","34.1","22.5","962","0"
"23-04-2025 11:44:15","34.0","22.4","962","0"
"23-04-2025 11:45:15","34.0","22.5","961","0"
"23-04-2025 11:46:15","34.0","22.4","962","0"
"23-04-2025 11:47:15","34.0","22.4","962","0"
"23-04-2025 11:48:15","33.9","22.4","961","0"
"23-04-2025 11:49:15","33.9","22.4","961","0"
"23-04-2025 11:50:15","33.9","22.4","961","0"
"23-04-2025 11:51:15","33.9","22.4","961","0"
"23-04-2025 11:52:15","33.8","22.4","961","0"
"23-04-2025 11:53:15","33.8","22.4","961","0"
"23-04-2025 11:54:15","33.8","22.4","961","0"
"23-04-2025 11:55:15","33.8","22.4","961","0"
"23-04-2025 11:56:15","33.8","22.4","961","0"
"23-04-2025 11:57:15","33.8","22.4","962","0"
"23-04-2025 11:58:15","33.8","22.4","961","0"
"23-04-2025 11:59:15","33.7","22.4","961","0"
"23-04-2025 12:00:15","33.7","22.4","961","0"
"23-04-2025 12:01:15","33.7","22.5","961","0"
